,year,population,zipcode
8935,2009,519,12861
8936,2010,527,12861
8937,2011,519,12861
8938,2012,540,12861
8939,2013,510,12861
8940,2014,530,12861
8941,2015,520,12861
8942,2005,577,12863
8943,2006,560,12863
8944,2007,576,12863
8945,2008,574,12863
8946,2009,560,12863
8947,2010,595,12863
8948,2011,629,12863
8949,2012,650,12863
8950,2013,660,12863
8951,2014,690,12863
8952,2015,670,12863
8953,2005,3374,12865
8954,2006,3225,12865
8955,2007,3538,12865
8956,2008,3281,12865
8957,2009,3156,12865
8958,2010,3092,12865
8959,2011,3080,12865
8960,2012,3040,12865
8961,2013,2940,12865
8962,2014,3000,12865
8963,2015,2860,12865
8964,2005,32496,12866
8965,2006,30926,12866
8966,2007,33204,12866
8967,2008,31674,12866
8968,2009,31828,12866
8969,2010,31986,12866
8970,2011,32523,12866
8971,2012,32800,12866
8972,2013,33020,12866
8973,2014,33410,12866
8974,2015,33940,12866
8975,2005,1648,12870
8976,2006,1595,12870
8977,2007,1710,12870
8978,2008,1599,12870
8979,2009,1545,12870
8980,2010,1482,12870
8981,2011,1440,12870
8982,2012,1480,12870
8983,2013,1470,12870
8984,2014,1450,12870
8985,2015,1460,12870
8986,2005,3867,12871
8987,2006,3760,12871
8988,2007,4027,12871
8989,2008,3762,12871
8990,2009,3764,12871
8991,2010,3831,12871
8992,2011,3755,12871
8993,2012,3830,12871
8994,2013,3850,12871
8995,2014,3770,12871
8996,2015,3680,12871
8997,2005,739,12873
8998,2006,688,12873
8999,2007,740,12873
9000,2008,676,12873
9001,2009,706,12873
9002,2010,707,12873
9003,2011,678,12873
9004,2012,660,12873
9005,2013,640,12873
9006,2014,620,12873
9007,2015,650,12873
9008,2005,116,12874
9009,2006,108,12874
9010,2007,109,12874
9011,2005,574,12878
9012,2006,556,12878
9013,2007,630,12878
9014,2008,592,12878
9015,2009,573,12878
9016,2010,573,12878
9017,2011,566,12878
9018,2012,540,12878
9019,2013,540,12878
9020,2014,540,12878
9021,2015,530,12878
9022,2005,4663,12883
9023,2006,4458,12883
9024,2007,4888,12883
9025,2008,4422,12883
9026,2009,4266,12883
9027,2010,4310,12883
9028,2011,4276,12883
9029,2012,4220,12883
9030,2013,4260,12883
9031,2014,4200,12883
9032,2015,4140,12883
9033,2005,4305,12885
9034,2006,4120,12885
9035,2007,4465,12885
9036,2008,4088,12885
9037,2009,4044,12885
9038,2010,4097,12885
9039,2011,3971,12885
9040,2012,4030,12885
9041,2013,3960,12885
9042,2014,3910,12885
9043,2015,3910,12885
9044,2005,233,12886
9045,2006,230,12886
9046,2007,257,12886
9047,2009,223,12886
9048,2010,208,12886
9049,2011,218,12886
9050,2012,210,12886
9051,2013,230,12886
9052,2014,220,12886
9053,2015,230,12886
9054,2005,4287,12887
9055,2006,4201,12887
9056,2007,4606,12887
9057,2008,4240,12887
9058,2009,4161,12887
9059,2010,4120,12887
9060,2011,4189,12887
9061,2012,4230,12887
9062,2013,4170,12887
9063,2014,4160,12887
9064,2015,4220,12887
9065,2005,25505,12901
9066,2006,24618,12901
9067,2007,26733,12901
9068,2008,24960,12901
9069,2009,24768,12901
9070,2010,24669,12901
9071,2011,24725,12901
9072,2012,24480,12901
9073,2013,24430,12901
9074,2014,24310,12901
9075,2015,24440,12901
9076,2005,919,12903
9077,2006,953,12903
9078,2007,1097,12903
9079,2008,1074,12903
9080,2009,1127,12903
9081,2010,1189,12903
9082,2011,1168,12903
9083,2012,1210,12903
9084,2013,1270,12903
9085,2014,1270,12903
9086,2015,1310,12903
9087,2005,1626,12910
9088,2006,1637,12910
9089,2007,1700,12910
9090,2008,1576,12910
9091,2009,1514,12910
9092,2010,1471,12910
9093,2011,1477,12910
9094,2012,1480,12910
9095,2013,1410,12910
9096,2014,1450,12910
9097,2015,1440,12910
9098,2005,28,12911
9099,2006,27,12911
9100,2007,24,12911
9101,2005,2045,12912
9102,2006,1980,12912
9103,2007,2123,12912
9104,2008,1924,12912
9105,2009,1891,12912
9106,2010,1916,12912
9107,2011,1872,12912
9108,2012,1830,12912
9109,2013,1850,12912
9110,2014,1800,12912
9111,2015,1810,12912
9112,2005,1014,12913
9113,2006,979,12913
9114,2007,1067,12913
9115,2008,1009,12913
9116,2009,1012,12913
9117,2010,987,12913
9118,2011,1007,12913
9119,2012,980,12913
9120,2013,1010,12913
9121,2014,1030,12913
9122,2015,1010,12913
9123,2005,724,12914
9124,2006,706,12914
9125,2007,796,12914
9126,2008,717,12914
9127,2009,720,12914
9128,2010,713,12914
9129,2011,740,12914
9130,2012,720,12914
9131,2013,710,12914
9132,2014,690,12914
9133,2015,710,12914
9134,2005,1876,12916
9135,2006,1850,12916
9136,2007,2052,12916
9137,2008,1836,12916
9138,2009,1779,12916
9139,2010,1802,12916
9140,2011,1867,12916
9141,2012,1830,12916
9142,2013,1880,12916
9143,2014,1860,12916
9144,2015,1830,12916
9145,2005,1343,12917
9146,2006,1286,12917
9147,2007,1410,12917
9148,2008,1302,12917
9149,2009,1282,12917
9150,2010,1329,12917
9151,2011,1275,12917
9152,2012,1310,12917
9153,2013,1290,12917
9154,2014,1300,12917
9155,2015,1300,12917
9156,2005,2308,12918
9157,2006,2238,12918
9158,2007,2356,12918
9159,2008,2215,12918
9160,2009,2185,12918
9161,2010,2161,12918
9162,2011,2168,12918
9163,2012,2170,12918
9164,2013,2190,12918
9165,2014,2180,12918
9166,2015,2120,12918
9167,2005,3276,12919
9168,2006,3117,12919
9169,2007,3371,12919
9170,2008,3224,12919
9171,2009,3065,12919
9172,2010,3102,12919
9173,2011,3088,12919
9174,2012,2960,12919
9175,2013,3010,12919
9176,2014,2850,12919
9177,2015,2920,12919
9178,2005,2207,12920
9179,2006,2166,12920
9180,2007,2305,12920
9181,2008,2120,12920
9182,2009,2066,12920
9183,2010,2061,12920
9184,2011,2081,12920
9185,2012,2050,12920
9186,2013,2010,12920
9187,2014,2030,12920
9188,2015,2000,12920
9189,2005,2396,12921
9190,2006,2304,12921
9191,2007,2384,12921
9192,2008,2318,12921
9193,2009,2276,12921
9194,2010,2280,12921
9195,2011,2273,12921
9196,2012,2260,12921
9197,2013,2220,12921
9198,2014,2280,12921
9199,2015,2240,12921
9200,2005,62,12922
9201,2006,56,12922
9202,2007,74,12922
9203,2005,516,12923
9204,2006,521,12923
9205,2007,544,12923
9206,2009,481,12923
9207,2010,480,12923
9208,2011,456,12923
9209,2012,460,12923
9210,2013,450,12923
9211,2014,450,12923
9212,2015,430,12923
9213,2005,123,12924
9214,2006,127,12924
9215,2007,148,12924
9216,2005,1838,12926
9217,2006,1829,12926
9218,2007,1965,12926
9219,2008,1849,12926
9220,2009,1775,12926
9221,2010,1788,12926
9222,2011,1827,12926
9223,2012,1790,12926
9224,2013,1760,12926
9225,2014,1780,12926
9226,2015,1760,12926
9227,2005,1848,12928
9228,2006,1751,12928
9229,2007,1925,12928
9230,2008,1796,12928
9231,2009,1802,12928
9232,2010,1736,12928
9233,2011,1749,12928
9234,2012,1750,12928
9235,2013,1760,12928
9236,2014,1720,12928
9237,2015,1720,12928
9238,2005,518,12930
9239,2006,509,12930
9240,2007,598,12930
9241,2008,504,12930
9242,2009,534,12930
9243,2010,506,12930
9244,2011,515,12930
9245,2012,530,12930
9246,2013,530,12930
9247,2014,520,12930
9248,2015,540,12930
9249,2005,1238,12932
9250,2006,1167,12932
9251,2007,1256,12932
9252,2008,1167,12932
9253,2009,1120,12932
9254,2010,1132,12932
9255,2011,1095,12932
9256,2012,1100,12932
9257,2013,1100,12932
9258,2014,1070,12932
9259,2015,1070,12932
9260,2005,861,12934
9261,2006,840,12934
9262,2007,923,12934
9263,2008,829,12934
9264,2009,804,12934
9265,2010,808,12934
9266,2011,789,12934
9267,2012,810,12934
9268,2013,830,12934
9269,2014,830,12934
9270,2015,820,12934
9271,2005,1497,12935
9272,2006,1433,12935
9273,2007,1538,12935
9274,2008,1400,12935
9275,2009,1403,12935
9276,2010,1362,12935
9277,2011,1312,12935
9278,2012,1320,12935
9279,2013,1320,12935
9280,2014,1320,12935
9281,2015,1290,12935
9282,2005,585,12936
9283,2006,566,12936
9284,2007,610,12936
9285,2008,577,12936
9286,2009,556,12936
9287,2010,597,12936
9288,2011,553,12936
9289,2012,550,12936
9290,2013,560,12936
9291,2014,540,12936
9292,2015,570,12936
9293,2005,1408,12937
9294,2006,1415,12937
9295,2007,1518,12937
9296,2008,1368,12937
9297,2009,1318,12937
9298,2010,1301,12937
9299,2011,1278,12937
9300,2012,1230,12937
9301,2013,1240,12937
9302,2014,1230,12937
9303,2015,1190,12937
9304,2005,1165,12941
9305,2006,1105,12941
9306,2007,1192,12941
9307,2008,1142,12941
9308,2009,1193,12941
9309,2010,1179,12941
9310,2011,1142,12941
9311,2012,1180,12941
9312,2013,1160,12941
9313,2014,1200,12941
9314,2015,1190,12941
9315,2005,573,12942
9316,2006,531,12942
9317,2007,577,12942
9318,2008,551,12942
9319,2009,530,12942
9320,2010,559,12942
9321,2011,538,12942
9322,2012,560,12942
9323,2013,550,12942
9324,2014,570,12942
9325,2015,570,12942
9326,2005,409,12943
9327,2006,396,12943
9328,2007,407,12943
9329,2009,368,12943
9330,2010,344,12943
9331,2011,372,12943
9332,2012,360,12943
9333,2013,370,12943
9334,2014,370,12943
9335,2015,370,12943
9336,2005,3597,12944
9337,2006,3494,12944
9338,2007,3881,12944
9339,2008,3490,12944
9340,2009,3449,12944
9341,2010,3445,12944
9342,2011,3416,12944
9343,2012,3420,12944
9344,2013,3340,12944
9345,2014,3320,12944
9346,2015,3390,12944
9347,2005,668,12945
9348,2006,616,12945
9349,2007,655,12945
9350,2008,640,12945
9351,2009,644,12945
9352,2010,600,12945
9353,2011,598,12945
9354,2012,600,12945
9355,2013,610,12945
9356,2014,570,12945
9357,2015,560,12945
9358,2005,5147,12946
9359,2006,4757,12946
9360,2007,5109,12946
9361,2008,4753,12946
9362,2009,4656,12946
9363,2010,4541,12946
9364,2011,4617,12946
9365,2012,4590,12946
9366,2013,4510,12946
9367,2014,4630,12946
9368,2015,4460,12946
9369,2005,743,12950
9370,2006,759,12950
9371,2007,832,12950
9372,2008,746,12950
9373,2009,752,12950
9374,2010,741,12950
9375,2011,736,12950
9376,2012,720,12950
9377,2013,680,12950
9378,2014,640,12950
9379,2015,670,12950
9380,2005,540,12952
9381,2006,529,12952
9382,2007,580,12952
9383,2008,505,12952
9384,2009,496,12952
9385,2010,501,12952
9386,2011,500,12952
9387,2012,480,12952
9388,2013,490,12952
9389,2014,470,12952
9390,2015,450,12952
9391,2005,9697,12953
9392,2006,9696,12953
9393,2007,10833,12953
9394,2008,9606,12953
9395,2009,9426,12953
9396,2010,9449,12953
9397,2011,9359,12953
9398,2012,9150,12953
9399,2013,9170,12953
9400,2014,8980,12953
9401,2015,8900,12953
9402,2005,305,12955
9403,2006,284,12955
9404,2007,328,12955
9405,2009,292,12955
9406,2010,276,12955
9407,2011,288,12955
9408,2012,290,12955
9409,2013,290,12955
9410,2014,290,12955
9411,2015,300,12955
9412,2005,1029,12956
9413,2006,988,12956
9414,2007,1085,12956
9415,2008,985,12956
9416,2009,952,12956
9417,2010,973,12956
9418,2011,954,12956
9419,2012,980,12956
9420,2013,960,12956
9421,2014,930,12956
9422,2015,920,12956
9423,2005,1413,12957
9424,2006,1473,12957
9425,2007,1585,12957
9426,2008,1504,12957
9427,2009,1513,12957
9428,2010,1487,12957
9429,2011,1457,12957
9430,2012,1430,12957
9431,2013,1410,12957
9432,2014,1440,12957
9433,2015,1430,12957
9434,2005,1858,12958
9435,2006,1818,12958
9436,2007,1903,12958
9437,2008,1743,12958
9438,2009,1718,12958
9439,2010,1756,12958
9440,2011,1722,12958
9441,2012,1660,12958
9442,2013,1660,12958
9443,2014,1620,12958
9444,2015,1600,12958
9445,2005,1335,12959
9446,2006,1287,12959
9447,2007,1413,12959
9448,2008,1288,12959
9449,2009,1251,12959
9450,2010,1285,12959
9451,2011,1241,12959
9452,2012,1220,12959
9453,2013,1190,12959
9454,2014,1180,12959
9455,2015,1150,12959
9456,2005,979,12960
9457,2006,1001,12960
9458,2007,1075,12960
9459,2008,984,12960
9460,2009,987,12960
9461,2010,966,12960
9462,2011,959,12960
9463,2012,940,12960
9464,2013,900,12960
9465,2014,910,12960
9466,2015,880,12960
9467,2005,253,12961
9468,2006,258,12961
9469,2007,275,12961
9470,2009,250,12961
9471,2010,242,12961
9472,2011,235,12961
9473,2012,220,12961
9474,2013,220,12961
9475,2014,210,12961
9476,2015,190,12961
9477,2005,5587,12962
9478,2006,5419,12962
9479,2007,5608,12962
9480,2008,5249,12962
9481,2009,5183,12962
9482,2010,5170,12962
9483,2011,5197,12962
9484,2012,5110,12962
9485,2013,5030,12962
9486,2014,5090,12962
9487,2015,5010,12962
9488,2005,120,12964
9489,2006,102,12964
9490,2007,105,12964
9491,2005,565,12965
9492,2006,527,12965
9493,2007,570,12965
9494,2009,487,12965
9495,2010,494,12965
9496,2011,584,12965
9497,2012,520,12965
9498,2013,460,12965
9499,2014,500,12965
9500,2015,460,12965
9501,2005,2485,12966
9502,2006,2537,12966
9503,2007,2728,12966
9504,2008,2540,12966
9505,2009,2466,12966
9506,2010,2464,12966
9507,2011,2401,12966
9508,2012,2490,12966
9509,2013,2460,12966
9510,2014,2460,12966
9511,2015,2430,12966
9512,2005,1016,12967
9513,2006,1013,12967
9514,2007,1133,12967
9515,2008,1033,12967
9516,2009,994,12967
9517,2010,1018,12967
9518,2011,992,12967
9519,2012,1020,12967
9520,2013,1000,12967
9521,2014,1010,12967
9522,2015,1000,12967
9523,2005,313,12969
9524,2006,329,12969
9525,2007,373,12969
9526,2009,348,12969
9527,2010,326,12969
9528,2011,334,12969
9529,2012,310,12969
9530,2013,310,12969
9531,2014,310,12969
9532,2015,330,12969
9533,2005,332,12970
9534,2006,292,12970
9535,2007,291,12970
9536,2009,298,12970
9537,2010,273,12970
9538,2011,263,12970
9539,2012,280,12970
9540,2013,250,12970
9541,2014,220,12970
9542,2015,240,12970
9543,2005,6299,12972
9544,2006,6007,12972
9545,2007,6315,12972
9546,2008,6076,12972
9547,2009,5977,12972
9548,2010,6034,12972
9549,2011,6021,12972
9550,2012,5910,12972
9551,2013,5820,12972
9552,2014,5830,12972
9553,2015,5790,12972
9554,2005,1316,12974
9555,2006,1289,12974
9556,2007,1521,12974
9557,2008,1353,12974
9558,2009,1277,12974
9559,2010,1256,12974
9560,2011,1262,12974
9561,2012,1190,12974
9562,2013,1170,12974
9563,2014,1130,12974
9564,2015,1180,12974
9565,2005,429,12978
9566,2006,398,12978
9567,2007,433,12978
9568,2009,394,12978
9569,2010,393,12978
9570,2011,404,12978
9571,2012,360,12978
9572,2013,380,12978
9573,2014,390,12978
9574,2015,370,12978
9575,2005,2277,12979
9576,2006,2223,12979
9577,2007,2338,12979
9578,2008,2155,12979
9579,2009,2125,12979
9580,2010,2093,12979
9581,2011,2048,12979
9582,2012,2060,12979
9583,2013,2040,12979
9584,2014,2130,12979
9585,2015,2120,12979
9586,2005,1171,12980
9587,2006,1120,12980
9588,2007,1286,12980
9589,2008,1162,12980
9590,2009,1161,12980
9591,2010,1162,12980
9592,2011,1100,12980
9593,2012,1090,12980
9594,2013,1070,12980
9595,2014,1070,12980
9596,2015,1050,12980
9597,2005,2188,12981
9598,2006,2148,12981
9599,2007,2274,12981
9600,2008,2095,12981
9601,2009,2071,12981
9602,2010,2108,12981
9603,2011,2080,12981
9604,2012,2020,12981
9605,2013,2010,12981
9606,2014,2050,12981
9607,2015,2030,12981
9608,2005,6745,12983
9609,2006,6335,12983
9610,2007,6666,12983
9611,2008,6281,12983
9612,2009,6267,12983
9613,2010,6147,12983
9614,2011,6104,12983
9615,2012,6140,12983
9616,2013,6030,12983
9617,2014,6010,12983
9618,2015,5950,12983
9619,2005,1073,12985
9620,2006,1046,12985
9621,2007,1088,12985
9622,2008,1015,12985
9623,2009,1020,12985
9624,2010,969,12985
9625,2011,950,12985
9626,2012,930,12985
9627,2013,900,12985
9628,2014,860,12985
9629,2015,930,12985
9630,2005,5427,12986
9631,2006,5237,12986
9632,2007,6041,12986
9633,2008,5098,12986
9634,2009,4964,12986
9635,2010,4966,12986
9636,2011,4867,12986
9637,2012,4800,12986
9638,2013,4710,12986
9639,2014,4690,12986
9640,2015,4650,12986
9641,2005,259,12987
9642,2006,235,12987
9643,2007,259,12987
9644,2009,254,12987
9645,2010,251,12987
9646,2011,262,12987
9647,2012,240,12987
9648,2013,260,12987
9649,2014,240,12987
9650,2015,220,12987
9651,2005,889,12989
9652,2006,846,12989
9653,2007,909,12989
9654,2008,812,12989
9655,2009,799,12989
9656,2010,789,12989
9657,2011,774,12989
9658,2012,810,12989
9659,2013,750,12989
9660,2014,790,12989
9661,2015,760,12989
9662,2005,4559,12992
9663,2006,4539,12992
9664,2007,4782,12992
9665,2008,4459,12992
9666,2009,4442,12992
9667,2010,4437,12992
9668,2011,4374,12992
9669,2012,4440,12992
9670,2013,4420,12992
9671,2014,4410,12992
9672,2015,4370,12992
9673,2005,1499,12993
9674,2006,1454,12993
9675,2007,1508,12993
9676,2008,1474,12993
9677,2009,1442,12993
9678,2010,1403,12993
9679,2011,1420,12993
9680,2012,1380,12993
9681,2013,1410,12993
9682,2014,1400,12993
9683,2015,1390,12993
9684,2005,1834,12996
9685,2006,1696,12996
9686,2007,1906,12996
9687,2008,1782,12996
9688,2009,1714,12996
9689,2010,1734,12996
9690,2011,1698,12996
9691,2012,1710,12996
9692,2013,1620,12996
9693,2014,1640,12996
9694,2015,1580,12996
9695,2005,1133,12997
9696,2006,1035,12997
9697,2007,1122,12997
9698,2008,1075,12997
9699,2009,1059,12997
9700,2010,1061,12997
9701,2011,1015,12997
9702,2012,1000,12997
9703,2013,950,12997
9704,2014,990,12997
9705,2015,980,12997
9706,2005,423,12998
9707,2006,443,12998
9708,2007,504,12998
9709,2009,439,12998
9710,2010,459,12998
9711,2011,439,12998
9712,2012,420,12998
9713,2013,430,12998
9714,2014,460,12998
9715,2015,480,12998
9716,2005,35188,13021
9717,2006,33689,13021
9718,2007,36744,13021
9719,2008,33826,13021
9720,2009,33753,13021
9721,2010,33677,13021
9722,2011,33463,13021
9723,2012,33420,13021
9724,2013,32920,13021
9725,2014,32960,13021
9726,2015,32560,13021
9727,2005,1269,13026
9728,2006,1220,13026
9729,2007,1272,13026
9730,2008,1211,13026
9731,2009,1221,13026
9732,2010,1226,13026
9733,2011,1265,13026
9734,2012,1210,13026
9735,2013,1250,13026
9736,2014,1230,13026
9737,2015,1190,13026
9738,2005,30523,13027
9739,2006,29203,13027
9740,2007,31160,13027
9741,2008,30172,13027
9742,2009,30475,13027
9743,2010,30677,13027
9744,2011,30671,13027
9745,2012,30860,13027
9746,2013,31050,13027
9747,2014,30860,13027
9748,2015,31320,13027
9749,2005,1225,13028
9750,2006,1162,13028
9751,2007,1259,13028
9752,2008,1120,13028
9753,2009,1140,13028
9754,2010,1121,13028
9755,2011,1155,13028
9756,2012,1120,13028
9757,2013,1090,13028
9758,2014,1110,13028
9759,2015,1110,13028
9760,2005,6569,13029
9761,2006,6459,13029
9762,2007,6887,13029
9763,2008,6700,13029
9764,2009,6621,13029
9765,2010,6761,13029
9766,2011,6703,13029
9767,2012,6660,13029
9768,2013,6690,13029
9769,2014,6630,13029
9770,2015,6650,13029
9771,2005,3940,13030
9772,2006,3773,13030
9773,2007,3969,13030
9774,2008,3834,13030
9775,2009,3775,13030
9776,2010,3703,13030
9777,2011,3662,13030
9778,2012,3710,13030
9779,2013,3620,13030
9780,2014,3500,13030
9781,2015,3550,13030
9782,2005,15969,13031
9783,2006,15026,13031
9784,2007,15872,13031
9785,2008,15306,13031
9786,2009,15249,13031
9787,2010,15275,13031
9788,2011,15343,13031
9789,2012,15260,13031
9790,2013,15220,13031
9791,2014,15200,13031
9792,2015,15330,13031
9793,2005,11545,13032
9794,2006,11370,13032
9795,2007,12207,13032
9796,2008,11398,13032
9797,2009,11266,13032
9798,2010,11317,13032
9799,2011,11277,13032
9800,2012,11280,13032
9801,2013,10980,13032
9802,2014,10990,13032
9803,2015,10930,13032
9804,2005,3707,13033
9805,2006,3576,13033
9806,2007,3808,13033
9807,2008,3538,13033
9808,2009,3505,13033
9809,2010,3578,13033
9810,2011,3630,13033
9811,2012,3500,13033
9812,2013,3510,13033
9813,2014,3410,13033
9814,2015,3440,13033
9815,2005,1778,13034
9816,2006,1725,13034
9817,2007,1772,13034
9818,2008,1652,13034
9819,2009,1632,13034
9820,2010,1680,13034
9821,2011,1642,13034
9822,2012,1700,13034
9823,2013,1670,13034
9824,2014,1670,13034
9825,2015,1610,13034
9826,2005,7960,13035
9827,2006,7518,13035
9828,2007,7635,13035
9829,2008,7264,13035
9830,2009,7207,13035
9831,2010,7298,13035
9832,2011,7348,13035
9833,2012,7510,13035
9834,2013,7420,13035
9835,2014,7310,13035
9836,2015,7330,13035
9837,2005,8290,13036
9838,2006,8034,13036
9839,2007,8643,13036
9840,2008,8066,13036
9841,2009,8054,13036
9842,2010,8057,13036
9843,2011,8018,13036
9844,2012,7950,13036
9845,2013,7890,13036
9846,2014,7730,13036
9847,2015,7850,13036
9848,2005,8642,13037
9849,2006,8201,13037
9850,2007,8744,13037
9851,2008,8346,13037
9852,2009,8240,13037
9853,2010,8170,13037
9854,2011,8183,13037
9855,2012,8190,13037
9856,2013,8350,13037
9857,2014,8210,13037
9858,2015,8140,13037
9859,2005,17160,13039
9860,2006,16643,13039
9861,2007,17423,13039
9862,2008,16998,13039
9863,2009,17182,13039
9864,2010,16996,13039
9865,2011,17038,13039
9866,2012,17040,13039
9867,2013,16760,13039
9868,2014,16770,13039
9869,2015,16610,13039
9870,2005,2552,13040
9871,2006,2485,13040
9872,2007,2706,13040
9873,2008,2518,13040
9874,2009,2486,13040
9875,2010,2435,13040
9876,2011,2439,13040
9877,2012,2320,13040
9878,2013,2340,13040
9879,2014,2220,13040
9880,2015,2290,13040
9881,2005,10327,13041
9882,2006,10071,13041
9883,2007,10422,13041
9884,2008,10308,13041
9885,2009,10234,13041
9886,2010,10483,13041
9887,2011,10631,13041
9888,2012,10630,13041
9889,2013,10710,13041
9890,2014,10840,13041
9891,2015,10890,13041
9892,2005,2092,13042
9893,2006,2044,13042
9894,2007,2196,13042
9895,2008,2030,13042
9896,2009,1978,13042
9897,2010,1972,13042
9898,2011,2034,13042
9899,2012,1960,13042
9900,2013,2020,13042
9901,2014,1970,13042
9902,2015,1950,13042
9903,2005,2551,13044
9904,2006,2433,13044
9905,2007,2647,13044
9906,2008,2414,13044
9907,2009,2472,13044
9908,2010,2364,13044
9909,2011,2426,13044
9910,2012,2360,13044
9911,2013,2340,13044
9912,2014,2280,13044
9913,2015,2290,13044
9914,2005,21871,13045
9915,2006,21303,13045
9916,2007,23160,13045
9917,2008,21300,13045
9918,2009,20977,13045
9919,2010,21133,13045
9920,2011,21000,13045
9921,2012,20830,13045
9922,2013,20410,13045
9923,2014,20540,13045
9924,2015,20330,13045
9925,2005,1830,13052
9926,2006,1780,13052
9927,2007,1910,13052
9928,2008,1770,13052
9929,2009,1744,13052
9930,2010,1712,13052
9931,2011,1709,13052
9932,2012,1740,13052
9933,2013,1770,13052
9934,2014,1710,13052
9935,2015,1650,13052
9936,2005,4253,13053
9937,2006,4056,13053
9938,2007,4285,13053
9939,2008,4090,13053
9940,2009,4070,13053
9941,2010,4200,13053
9942,2011,4081,13053
9943,2012,4100,13053
9944,2013,4010,13053
9945,2014,3940,13053
9946,2015,3990,13053
9947,2005,1451,13054
9948,2006,1411,13054
9949,2007,1528,13054
9950,2008,1480,13054
9951,2009,1463,13054
9952,2010,1423,13054
9953,2011,1416,13054
9954,2012,1440,13054
9955,2013,1450,13054
9956,2014,1400,13054
9957,2015,1400,13054
9958,2005,14561,13057
9959,2006,14052,13057
9960,2007,14966,13057
9961,2008,14205,13057
9962,2009,14125,13057
9963,2010,14039,13057
9964,2011,13963,13057
9965,2012,13890,13057
9966,2013,13800,13057
9967,2014,13710,13057
9968,2015,13530,13057
9969,2005,2899,13060
9970,2006,2765,13060
9971,2007,2893,13060
9972,2008,2749,13060
9973,2009,2677,13060
9974,2010,2735,13060
9975,2011,2816,13060
9976,2012,2680,13060
9977,2013,2770,13060
9978,2014,2630,13060
9979,2015,2540,13060
9980,2005,977,13061
9981,2006,961,13061
9982,2007,987,13061
9983,2008,972,13061
9984,2009,931,13061
9985,2010,922,13061
9986,2011,898,13061
9987,2012,930,13061
9988,2013,920,13061
9989,2014,890,13061
9990,2015,920,13061
9991,2005,1847,13063
9992,2006,1747,13063
9993,2007,1805,13063
9994,2008,1809,13063
9995,2009,1790,13063
9996,2010,1818,13063
9997,2011,1804,13063
9998,2012,1830,13063
9999,2013,1810,13063
10000,2014,1850,13063
10001,2015,1790,13063
10002,2005,13160,13066
10003,2006,12304,13066
10004,2007,12760,13066
10005,2008,12372,13066
10006,2009,12363,13066
10007,2010,12319,13066
10008,2011,12271,13066
10009,2012,12240,13066
10010,2013,12150,13066
10011,2014,12170,13066
10012,2015,12120,13066
10013,2005,4729,13068
10014,2006,4538,13068
10015,2007,4856,13068
10016,2008,4634,13068
10017,2009,4605,13068
10018,2010,4611,13068
10019,2011,4610,13068
10020,2012,4600,13068
10021,2013,4560,13068
10022,2014,4560,13068
10023,2015,4580,13068
10024,2005,22756,13069
10025,2006,22141,13069
10026,2007,24107,13069
10027,2008,22245,13069
10028,2009,22134,13069
10029,2010,21900,13069
10030,2011,21767,13069
10031,2012,21470,13069
10032,2013,21210,13069
10033,2014,20800,13069
10034,2015,20640,13069
10035,2005,1032,13071
10036,2006,974,13071
10037,2007,1011,13071
10038,2008,964,13071
10039,2009,974,13071
10040,2010,915,13071
10041,2011,954,13071
10042,2012,900,13071
10043,2013,890,13071
10044,2014,840,13071
10045,2015,860,13071
10046,2005,744,13072
10047,2006,725,13072
10048,2007,806,13072
10049,2008,714,13072
10050,2009,744,13072
10051,2010,739,13072
10052,2011,706,13072
10053,2012,690,13072
10054,2013,670,13072
10055,2014,670,13072
10056,2015,700,13072
10057,2005,5988,13073
10058,2006,5839,13073
10059,2007,6266,13073
10060,2008,5939,13073
10061,2009,5925,13073
10062,2010,5803,13073
10063,2011,5809,13073
10064,2012,5790,13073
10065,2013,5750,13073
10066,2014,5670,13073
10067,2015,5710,13073
10068,2005,4199,13074
10069,2006,4016,13074
10070,2007,4228,13074
10071,2008,3992,13074
10072,2009,4012,13074
10073,2010,3942,13074
10074,2011,3912,13074
10075,2012,3850,13074
10076,2013,3800,13074
10077,2014,3660,13074
10078,2015,3770,13074
10079,2005,2280,13076
10080,2006,2233,13076
10081,2007,2379,13076
10082,2008,2205,13076
10083,2009,2185,13076
10084,2010,2182,13076
10085,2011,2190,13076
10086,2012,2130,13076
10087,2013,2150,13076
10088,2014,2090,13076
10089,2015,2080,13076
10090,2005,6518,13077
10091,2006,6240,13077
10092,2007,6636,13077
10093,2008,6212,13077
10094,2009,6274,13077
10095,2010,6177,13077
10096,2011,6180,13077
10097,2012,6070,13077
10098,2013,6030,13077
10099,2014,6020,13077
10100,2015,6040,13077
10101,2005,9049,13078
10102,2006,8655,13078
10103,2007,9011,13078
10104,2008,8910,13078
10105,2009,8959,13078
10106,2010,8935,13078
10107,2011,8922,13078
10108,2012,8990,13078
10109,2013,8970,13078
10110,2014,8990,13078
10111,2015,9010,13078
10112,2005,3586,13080
10113,2006,3470,13080
10114,2007,3674,13080
10115,2008,3454,13080
10116,2009,3393,13080
10117,2010,3343,13080
10118,2011,3333,13080
10119,2012,3270,13080
10120,2013,3400,13080
10121,2014,3150,13080
10122,2015,3180,13080
10123,2005,1095,13081
10124,2006,1058,13081
10125,2007,1092,13081
10126,2008,1054,13081
10127,2009,1011,13081
